County,month,prec_in
ALLEGANY,10,2.7
ALLEGANY,11,3
ALLEGANY,12,2.8
ALLEGANY,1,2.7
ALLEGANY,2,2.6
ALLEGANY,3,3.6
ALLEGANY,4,3.3
ALLEGANY,5,3.8
ALLEGANY,6,3.6
ALLEGANY,7,3.6
ALLEGANY,8,3.4
ALLEGANY,9,3.1
ANNE ARUNDEL,10,3.2
ANNE ARUNDEL,11,3.3
ANNE ARUNDEL,12,3.5
ANNE ARUNDEL,1,3.1
ANNE ARUNDEL,2,3.2
ANNE ARUNDEL,3,4
ANNE ARUNDEL,4,3.2
ANNE ARUNDEL,5,4
ANNE ARUNDEL,6,3.5
ANNE ARUNDEL,7,3.8
ANNE ARUNDEL,8,4.1
ANNE ARUNDEL,9,3.5
BALTIMORE CITY,10,3.1
BALTIMORE CITY,11,3.6
BALTIMORE CITY,12,3.6
BALTIMORE CITY,1,3.2
BALTIMORE CITY,2,3.2
BALTIMORE CITY,3,3.9
BALTIMORE CITY,4,3.4
BALTIMORE CITY,5,4.1
BALTIMORE CITY,6,3.6
BALTIMORE CITY,7,3.7
BALTIMORE CITY,8,4.1
BALTIMORE CITY,9,3.5
BALTIMORE ,10,3.3
BALTIMORE ,11,3.7
BALTIMORE ,12,3.6
BALTIMORE ,1,3.2
BALTIMORE ,2,3
BALTIMORE ,3,3.9
BALTIMORE ,4,3.5
BALTIMORE ,5,4.3
BALTIMORE ,6,3.7
BALTIMORE ,7,4
BALTIMORE ,8,4
BALTIMORE ,9,3.9
CALVERT,10,3.1
CALVERT,11,3.4
CALVERT,12,3.2
CALVERT,1,3.1
CALVERT,2,2.9
CALVERT,3,3.9
CALVERT,4,3.2
CALVERT,5,4
CALVERT,6,3.6
CALVERT,7,4.1
CALVERT,8,4
CALVERT,9,3.5
CAROLINE,10,3.1
CAROLINE,11,3.4
CAROLINE,12,3.4
CAROLINE,1,3.4
CAROLINE,2,3.2
CAROLINE,3,3.9
CAROLINE,4,3.1
CAROLINE,5,3.6
CAROLINE,6,3.4
CAROLINE,7,4.2
CAROLINE,8,4.8
CAROLINE,9,3.5
CARROLL,10,3.2
CARROLL,11,3.4
CARROLL,12,3.4
CARROLL,1,3.1
CARROLL,2,2.8
CARROLL,3,3.8
CARROLL,4,3.5
CARROLL,5,4.1
CARROLL,6,3.8
CARROLL,7,4
CARROLL,8,3.7
CARROLL,9,3.7
CECIL,10,3.1
CECIL,11,3.3
CECIL,12,3.5
CECIL,1,3.1
CECIL,2,2.9
CECIL,3,3.9
CECIL,4,3.4
CECIL,5,3.8
CECIL,6,3.6
CECIL,7,4
CECIL,8,3.8
CECIL,9,3.6
CHARLES,10,3.3
CHARLES,11,3.2
CHARLES,12,3.3
CHARLES,1,3.1
CHARLES,2,2.9
CHARLES,3,3.9
CHARLES,4,3.1
CHARLES,5,3.8
CHARLES,6,3.6
CHARLES,7,4.2
CHARLES,8,4.3
CHARLES,9,3.7
DORCHESTER,10,3
DORCHESTER,11,3.3
DORCHESTER,12,3.4
DORCHESTER,1,3.4
DORCHESTER,2,3.3
DORCHESTER,3,4
DORCHESTER,4,3.1
DORCHESTER,5,3.4
DORCHESTER,6,3.3
DORCHESTER,7,4.1
DORCHESTER,8,4.7
DORCHESTER,9,3.4
FREDERICK,10,3.2
FREDERICK,11,3.5
FREDERICK,12,3.3
FREDERICK,1,3
FREDERICK,2,2.8
FREDERICK,3,3.8
FREDERICK,4,3.6
FREDERICK,5,4.2
FREDERICK,6,3.8
FREDERICK,7,3.8
FREDERICK,8,3.6
FREDERICK,9,3.7
GARRETT,10,3.1
GARRETT,11,2.7
GARRETT,12,3.4
GARRETT,1,3.5
GARRETT,2,2.8
GARRETT,3,4
GARRETT,4,4
GARRETT,5,4.1
GARRETT,6,4
GARRETT,7,4.1
GARRETT,8,4.1
GARRETT,9,3
HARFORD,10,3.3
HARFORD,11,3.7
HARFORD,12,3.8
HARFORD,1,3.3
HARFORD,2,2.9
HARFORD,3,4.1
HARFORD,4,3.7
HARFORD,5,4.3
HARFORD,6,3.8
HARFORD,7,4.3
HARFORD,8,4.2
HARFORD,9,4
HOWARD,10,3.2
HOWARD,11,3.5
HOWARD,12,3.5
HOWARD,1,3.1
HOWARD,2,3
HOWARD,3,3.9
HOWARD,4,3.4
HOWARD,5,4.2
HOWARD,6,3.8
HOWARD,7,3.7
HOWARD,8,3.9
HOWARD,9,3.7
KENT,10,3.2
KENT,11,3.4
KENT,12,3.7
KENT,1,3.2
KENT,2,3
KENT,3,4
KENT,4,3.3
KENT,5,4
KENT,6,3.8
KENT,7,4
KENT,8,4.1
KENT,9,3.7
MONTGOMERY,10,3.1
MONTGOMERY,11,3.4
MONTGOMERY,12,3.2
MONTGOMERY,1,3
MONTGOMERY,2,2.9
MONTGOMERY,3,3.7
MONTGOMERY,4,3.3
MONTGOMERY,5,4.2
MONTGOMERY,6,3.8
MONTGOMERY,7,3.8
MONTGOMERY,8,3.9
MONTGOMERY,9,3.7
PRINCE GEORGES,10,3.1
PRINCE GEORGES,11,3.3
PRINCE GEORGES,12,3.3
PRINCE GEORGES,1,3
PRINCE GEORGES,2,2.9
PRINCE GEORGES,3,3.7
PRINCE GEORGES,4,3.2
PRINCE GEORGES,5,4
PRINCE GEORGES,6,3.6
PRINCE GEORGES,7,4.1
PRINCE GEORGES,8,4.2
PRINCE GEORGES,9,3.6
QUEEN ANNES,10,3.2
QUEEN ANNES,11,3.4
QUEEN ANNES,12,3.6
QUEEN ANNES,1,3.3
QUEEN ANNES,2,3
QUEEN ANNES,3,3.8
QUEEN ANNES,4,3.2
QUEEN ANNES,5,3.8
QUEEN ANNES,6,3.6
QUEEN ANNES,7,4
QUEEN ANNES,8,4.4
QUEEN ANNES,9,3.7
SOMERSET,10,3.2
SOMERSET,11,3.2
SOMERSET,12,3.3
SOMERSET,1,3.5
SOMERSET,2,3.3
SOMERSET,3,4.3
SOMERSET,4,3.3
SOMERSET,5,3.6
SOMERSET,6,3.3
SOMERSET,7,4.2
SOMERSET,8,5
SOMERSET,9,3.8
ST MARYS,10,3.1
ST MARYS,11,3.2
ST MARYS,12,3.1
ST MARYS,1,3
ST MARYS,2,3
ST MARYS,3,4
ST MARYS,4,3.1
ST MARYS,5,4
ST MARYS,6,3.7
ST MARYS,7,4.2
ST MARYS,8,4.1
ST MARYS,9,3.5
TALBOT,10,3.2
TALBOT,11,3.5
TALBOT,12,3.6
TALBOT,1,3.4
TALBOT,2,3.1
TALBOT,3,4.1
TALBOT,4,3.3
TALBOT,5,3.9
TALBOT,6,3.4
TALBOT,7,4.2
TALBOT,8,4.4
TALBOT,9,3.5
WASHINGTON,10,3
WASHINGTON,11,3.2
WASHINGTON,12,2.9
WASHINGTON,1,2.8
WASHINGTON,2,2.6
WASHINGTON,3,3.5
WASHINGTON,4,3.4
WASHINGTON,5,3.9
WASHINGTON,6,3.6
WASHINGTON,7,3.6
WASHINGTON,8,3.4
WASHINGTON,9,3.4
WICOMICO,10,3.3
WICOMICO,11,3.2
WICOMICO,12,3.6
WICOMICO,1,3.5
WICOMICO,2,3.5
WICOMICO,3,4.3
WICOMICO,4,3.3
WICOMICO,5,3.5
WICOMICO,6,3.4
WICOMICO,7,4.2
WICOMICO,8,5.1
WICOMICO,9,3.7
WORCESTER,10,3.3
WORCESTER,11,3.3
WORCESTER,12,3.5
WORCESTER,1,3.5
WORCESTER,2,3.5
WORCESTER,3,4.4
WORCESTER,4,3.1
WORCESTER,5,3.5
WORCESTER,6,3.4
WORCESTER,7,4.2
WORCESTER,8,5
WORCESTER,9,3.5
