sampleID,country,income_group,age_group
SAMN11252254,Ethiopia,low income,6-12
SAMN11252255,Ethiopia,low income,6-12
SAMN11252256,Ethiopia,low income,<3
SAMN11252262,Ethiopia,low income,<3
SAMN11252263,Ethiopia,low income,6-12
SAMN11252275,Ethiopia,low income,<3
SAMN11252274,Ethiopia,low income,6-12
SAMN11252283,Ethiopia,low income,6-12
SAMEA104445526,Germany,high income,<3
SAMEA104445525,Germany,high income,<3
SAMEA104445529,Germany,high income,<3
SAMEA104445528,Germany,high income,6-12
SAMEA104445530,Germany,high income,<3
SAMEA104445531,Germany,high income,<3
SAMEA104445534,Germany,high income,6-12
SAMEA104445592,Luxembourg,high income,6-12
SAMEA104445593,Luxembourg,high income,6-12
SAMEA104445594,Luxembourg,high income,6-12
SAMEA104445597,Luxembourg,high income,6-12
SAMEA104445598,Luxembourg,high income,6-12
SAMEA104445599,Luxembourg,high income,6-12
SAMN20292760,Mozambique,low income,6-12
SAMN20292761,Mozambique,low income,6-12
SAMN20292772,Mozambique,low income,6-12
SAMN20292783,Mozambique,low income,6-12
SAMN20292789,Mozambique,low income,6-12
SAMN20292792,Mozambique,low income,6-12
SAMN20292795,Mozambique,low income,6-12
SAMN20292804,Mozambique,low income,6-12
SAMN20292809,Mozambique,low income,6-12
SAMN20292819,Mozambique,low income,6-12
SAMN20292821,Mozambique,low income,6-12
SAMN20292827,Mozambique,low income,6-12
SAMN20292828,Mozambique,low income,6-12
SAMN20292831,Mozambique,low income,6-12
SAMN20292832,Mozambique,low income,6-12
SAMN20292835,Mozambique,low income,6-12
SAMN20292837,Mozambique,low income,6-12
SAMN20292841,Mozambique,low income,6-12
SAMN20292843,Mozambique,low income,6-12
SAMN20292847,Mozambique,low income,6-12
SAMN20292853,Mozambique,low income,6-12
SAMN20292852,Mozambique,low income,6-12
SAMN20292855,Mozambique,low income,6-12
SAMN20292859,Mozambique,low income,6-12
SAMN20292861,Mozambique,low income,6-12
SAMN20292871,Mozambique,low income,6-12
SAMN20292879,Mozambique,low income,6-12
SAMN20292880,Mozambique,low income,6-12
SAMN20292881,Mozambique,low income,6-12
SAMN20292886,Mozambique,low income,6-12
SAMN20292885,Mozambique,low income,6-12
SAMN20292887,Mozambique,low income,6-12
SAMN20292890,Mozambique,low income,6-12
SAMN20292896,Mozambique,low income,6-12
SAMN20292895,Mozambique,low income,6-12
SAMN20292897,Mozambique,low income,6-12
SAMN20292900,Mozambique,low income,6-12
SAMN20292901,Mozambique,low income,6-12
SAMN20292902,Mozambique,low income,6-12
SAMN20292904,Mozambique,low income,6-12
SAMN20292908,Mozambique,low income,6-12
SAMN20292911,Mozambique,low income,6-12
SAMN20292913,Mozambique,low income,6-12
SAMN20292916,Mozambique,low income,6-12
SAMN20292915,Mozambique,low income,6-12
SAMN20292922,Mozambique,low income,6-12
SAMN20292926,Mozambique,low income,6-12
SAMN20292925,Mozambique,low income,6-12
SAMN05615097,Italy,high income,<3
SAMN05615096,Italy,high income,<3
SAMN05615099,Italy,high income,<3
SAMN05615098,Italy,high income,<3
SAMN05615101,Italy,high income,<3
SAMN05615100,Italy,high income,6-12
SAMN05615102,Italy,high income,6-12
SAMN05826491,Estonia,high income,6-12
SAMN05826501,Russia,upper middle income,6-12
SAMN05826500,Russia,upper middle income,6-12
SAMN05826515,Finland,high income,6-12
SAMN05826536,Russia,upper middle income,6-12
SAMN05826538,Russia,upper middle income,6-12
SAMN05826558,Russia,upper middle income,6-12
SAMN05826557,Russia,upper middle income,6-12
SAMN05826561,Finland,high income,6-12
SAMN05826571,Estonia,high income,6-12
SAMN05826608,Estonia,high income,6-12
SAMN05826610,Estonia,high income,6-12
SAMN05826623,Russia,upper middle income,6-12
SAMN05826636,Russia,upper middle income,6-12
SAMN05826637,Russia,upper middle income,6-12
SAMN05826638,Russia,upper middle income,6-12
SAMN05826664,Estonia,high income,6-12
SAMN05826709,Russia,upper middle income,6-12
SAMN05826708,Russia,upper middle income,6-12
SAMN05826714,Russia,upper middle income,6-12
SAMN05826712,Russia,upper middle income,6-12
SAMN05826725,Russia,upper middle income,6-12
SAMN05826739,Finland,high income,6-12
SAMN05826757,Russia,upper middle income,6-12
SAMN05826762,Russia,upper middle income,6-12
SAMN05826760,Russia,upper middle income,6-12
SAMN05826799,Russia,upper middle income,6-12
SAMN05826817,Russia,upper middle income,6-12
SAMN05826821,Russia,upper middle income,6-12
SAMN05826829,Russia,upper middle income,6-12
SAMN05826851,Estonia,high income,6-12
SAMN05826867,Russia,upper middle income,6-12
SAMN05826866,Russia,upper middle income,6-12
SAMN05826881,Russia,upper middle income,6-12
SAMN05826883,Russia,upper middle income,6-12
SAMN05826891,Finland,high income,6-12
SAMN05826895,Finland,high income,6-12
SAMN05826900,Russia,upper middle income,6-12
SAMN05826901,Russia,upper middle income,6-12
SAMN05826911,Russia,upper middle income,6-12
SAMN05826913,Estonia,high income,6-12
SAMN05826984,Russia,upper middle income,6-12
SAMN05826982,Russia,upper middle income,6-12
SAMN05827028,Russia,upper middle income,6-12
SAMN05827054,Estonia,high income,6-12
SAMN05827058,Russia,upper middle income,6-12
SAMN05827062,Finland,high income,6-12
SAMN05827094,Finland,high income,6-12
SAMN05827109,Finland,high income,6-12
SAMN05827113,Russia,upper middle income,6-12
SAMN05827138,Russia,upper middle income,6-12
SAMN05827141,Estonia,high income,<3
SAMN05827144,Estonia,high income,6-12
SAMN05827149,Estonia,high income,<3
SAMN05827148,Estonia,high income,<3
SAMN05827151,Finland,high income,6-12
SAMN05827152,Estonia,high income,<3
SAMN05827158,Finland,high income,<3
SAMN05827163,Estonia,high income,6-12
SAMN05827164,Finland,high income,6-12
SAMN05827165,Finland,high income,<3
SAMN05827171,Finland,high income,6-12
SAMN05827173,Finland,high income,<3
SAMN05827197,Finland,high income,6-12
SAMN05827201,Estonia,high income,<3
SAMN05827209,Finland,high income,<3
SAMN05827218,Russia,upper middle income,6-12
SAMN05827216,Finland,high income,<3
SAMN05827222,Finland,high income,<3
SAMN05827220,Finland,high income,6-12
SAMN05827224,Russia,upper middle income,6-12
SAMN05827227,Finland,high income,6-12
SAMN05827229,Estonia,high income,<3
SAMN05827228,Finland,high income,<3
SAMN05827232,Estonia,high income,6-12
SAMN05827233,Finland,high income,6-12
SAMN05827239,Finland,high income,<3
SAMN05827240,Estonia,high income,<3
SAMN05827246,Estonia,high income,<3
SAMN05827252,Finland,high income,6-12
SAMN05827253,Estonia,high income,<3
SAMN05827255,Estonia,high income,<3
SAMN05827258,Estonia,high income,<3
SAMN05827261,Finland,high income,<3
SAMN05827264,Estonia,high income,6-12
SAMN05827265,Finland,high income,<3
SAMN05827267,Finland,high income,6-12
SAMN18039993,USA,high income,<3
SAMN18039992,USA,high income,<3
SAMN18039995,USA,high income,<3
SAMN18039994,USA,high income,<3
SAMN18039997,USA,high income,<3
SAMN18039996,USA,high income,<3
SAMN18039999,USA,high income,<3
SAMN18039998,USA,high income,<3
SAMN18040001,USA,high income,<3
SAMN18040000,USA,high income,<3
SAMN18040007,USA,high income,<3
SAMN18040009,USA,high income,<3
SAMN18040008,USA,high income,<3
SAMN18040011,USA,high income,<3
SAMN18040010,USA,high income,<3
SAMN18040013,USA,high income,<3
SAMN18040012,USA,high income,<3
SAMN18040015,USA,high income,<3
SAMN18040014,USA,high income,<3
SAMN18040016,USA,high income,<3
SAMN18040017,USA,high income,<3
SAMN18040019,USA,high income,<3
SAMN18040018,USA,high income,<3
SAMN18040021,USA,high income,<3
SAMN18040020,USA,high income,<3
SAMN18040023,USA,high income,<3
SAMN18040022,USA,high income,<3
SAMN18040024,USA,high income,<3
SAMN18040025,USA,high income,<3
SAMN18040027,USA,high income,<3
SAMN18040026,USA,high income,<3
SAMN18040029,USA,high income,<3
SAMN18040028,USA,high income,<3
SAMN18040031,USA,high income,<3
SAMN18040030,USA,high income,<3
SAMN18040033,USA,high income,<3
SAMN18040032,USA,high income,<3
SAMN18040034,USA,high income,<3
SAMN18040035,USA,high income,<3
SAMN18040037,USA,high income,<3
SAMN18040036,USA,high income,<3
SAMN18040039,USA,high income,<3
SAMN18040040,USA,high income,<3
SAMN18040041,USA,high income,<3
SAMN18040043,USA,high income,<3
SAMN18040042,USA,high income,<3
SAMN18040044,USA,high income,<3
SAMN18040045,USA,high income,<3
SAMN18040046,USA,high income,<3
SAMN18040047,USA,high income,<3
SAMN18040048,USA,high income,<3
SAMN18040049,USA,high income,<3
SAMN18040050,USA,high income,<3
SAMN18040051,USA,high income,<3
SAMN18040052,USA,high income,<3
SAMN18040053,USA,high income,<3
SAMN18040054,USA,high income,<3
SAMN18040055,USA,high income,<3
SAMN18040056,USA,high income,<3
SAMN18040057,USA,high income,<3
SAMN18040059,USA,high income,<3
SAMN18040058,USA,high income,<3
SAMN18040061,USA,high income,<3
SAMN18040060,USA,high income,<3
SAMN18040062,USA,high income,<3
SAMN18040063,USA,high income,<3
SAMN18040065,USA,high income,<3
SAMN18040064,USA,high income,<3
SAMN18040066,USA,high income,<3
SAMN18040067,USA,high income,<3
SAMN18040068,USA,high income,<3
SAMN18040069,USA,high income,<3
SAMN18040071,USA,high income,<3
SAMN18040070,USA,high income,<3
SAMN18040072,USA,high income,<3
SAMN18040073,USA,high income,<3
SAMN18040074,USA,high income,<3
SAMN18040075,USA,high income,<3
SAMN18040092,USA,high income,<3
SAMN18040093,USA,high income,<3
SAMN18040095,USA,high income,<3
SAMN18040094,USA,high income,<3
SAMN18040096,USA,high income,<3
SAMN18040097,USA,high income,<3
SAMN18040099,USA,high income,<3
SAMN18040098,USA,high income,<3
SAMN18040100,USA,high income,<3
SAMN18040101,USA,high income,<3
SAMN18040103,USA,high income,<3
SAMN18040102,USA,high income,<3
SAMN18040105,USA,high income,<3
SAMN18040104,USA,high income,<3
SAMN18040106,USA,high income,<3
SAMN18040107,USA,high income,<3
SAMN18040109,USA,high income,<3
SAMN18040108,USA,high income,<3
SAMN18040111,USA,high income,<3
SAMN18040110,USA,high income,<3
SAMN18040113,USA,high income,<3
SAMN18040112,USA,high income,<3
SAMN18040114,USA,high income,<3
SAMN18040115,USA,high income,<3
SAMN18040116,USA,high income,<3
SAMN18040117,USA,high income,<3
SAMEA2579906,Sweden,high income,6-12
SAMEA2579908,Sweden,high income,<3
SAMEA2579911,Sweden,high income,6-12
SAMEA2579913,Sweden,high income,<3
SAMEA2579915,Sweden,high income,<3
SAMEA2579918,Sweden,high income,6-12
SAMEA2579920,Sweden,high income,6-12
SAMEA2579922,Sweden,high income,<3
SAMEA2579924,Sweden,high income,<3
SAMEA2579926,Sweden,high income,6-12
SAMEA2579928,Sweden,high income,<3
SAMEA2579930,Sweden,high income,6-12
SAMEA2579934,Sweden,high income,6-12
SAMEA2579932,Sweden,high income,<3
SAMEA2579936,Sweden,high income,<3
SAMEA2579943,Sweden,high income,6-12
SAMEA2579945,Sweden,high income,<3
SAMEA2579951,Sweden,high income,6-12
SAMEA2579953,Sweden,high income,<3
SAMEA2579955,Sweden,high income,6-12
SAMEA2579959,Sweden,high income,6-12
SAMEA2579960,Sweden,high income,6-12
SAMEA2579962,Sweden,high income,<3
SAMEA2579964,Sweden,high income,6-12
SAMEA2579966,Sweden,high income,<3
SAMEA2579969,Sweden,high income,<3
SAMEA2579971,Sweden,high income,6-12
SAMEA2579973,Sweden,high income,<3
SAMEA2579977,Sweden,high income,6-12
SAMEA2579979,Sweden,high income,<3
SAMEA2579985,Sweden,high income,6-12
SAMEA2579987,Sweden,high income,<3
SAMEA2579997,Sweden,high income,6-12
SAMEA2580001,Sweden,high income,6-12
SAMEA2580009,Sweden,high income,6-12
SAMEA2580003,Sweden,high income,<3
SAMEA2580011,Sweden,high income,<3
SAMEA2580013,Sweden,high income,6-12
SAMEA2580015,Sweden,high income,<3
SAMEA2580018,Sweden,high income,6-12
SAMEA2580020,Sweden,high income,<3
SAMEA2580023,Sweden,high income,6-12
SAMEA2580025,Sweden,high income,<3
SAMEA2580027,Sweden,high income,6-12
SAMEA2580031,Sweden,high income,<3
SAMEA2580029,Sweden,high income,<3
SAMEA2580041,Sweden,high income,6-12
